,loss,residual_loss,bound_loss
0,29.872196,10.777683,19.094513
1,29.76744,10.749673,19.017767
2,29.662651,10.721851,18.9408
3,29.557606,10.693843,18.863764
4,29.453123,10.666045,18.787079
5,29.350765,10.638629,18.712137
6,29.24814,10.611386,18.636755
7,29.147207,10.584235,18.562971
8,29.045845,10.557445,18.4884
9,28.94382,10.530457,18.413364
10,28.842905,10.503536,18.339369
11,28.744478,10.477352,18.267126
12,28.64521,10.4511385,18.194073
13,28.547277,10.425074,18.122204
14,28.45008,10.39951,18.050571
15,28.352005,10.3735695,17.978436
16,28.255575,10.348222,17.907354
17,28.159595,10.323198,17.836397
18,28.06433,10.298266,17.766064
19,27.97021,10.273447,17.696762
20,27.876688,10.249308,17.62738
21,27.782711,10.224681,17.558031
22,27.688751,10.200588,17.488163
23,27.59687,10.177007,17.419865
24,27.504883,10.153411,17.35147
25,27.41342,10.130061,17.28336
26,27.323517,10.107311,17.216206
27,27.233137,10.084272,17.148865
28,27.14335,10.061476,17.081875
29,27.054651,10.039409,17.015242
30,26.96629,10.017297,16.948992
31,26.878145,9.995354,16.882792
32,26.792702,9.974094,16.818607
33,26.70602,9.952809,16.75321
34,26.618835,9.931468,16.687366
35,26.532845,9.910676,16.62217
36,26.448736,9.890041,16.558695
37,26.364628,9.86976,16.49487
38,26.281616,9.849753,16.431864
39,26.197968,9.830119,16.367847
40,26.115643,9.810327,16.305317
41,26.03336,9.790957,16.242401
42,25.951721,9.771795,16.179926
43,25.870798,9.752922,16.117876
44,25.791214,9.7344475,16.056767
45,25.712673,9.716166,15.996509
46,25.633823,9.698096,15.935727
47,25.555403,9.680324,15.875078
48,25.476902,9.662621,15.814282
49,25.399403,9.645254,15.754148
50,25.323154,9.628275,15.69488
51,25.246984,9.611285,15.635699
52,25.172052,9.594878,15.577173
53,25.097404,9.578525,15.518881
54,25.02363,9.562397,15.461233
55,24.948261,9.5463085,15.401953
56,24.875694,9.530733,15.344961
57,24.80322,9.515472,15.287748
58,24.731413,9.500318,15.231096
59,24.660471,9.485529,15.174942
60,24.590271,9.470898,15.119372
61,24.51885,9.456469,15.062383
62,24.44885,9.442155,15.006696
63,24.380135,9.42853,14.951605
64,24.31136,9.414758,14.896602
65,24.243567,9.401484,14.842082
66,24.17626,9.388437,14.787824
67,24.110012,9.375583,14.734428
68,24.043398,9.362886,14.680511
69,23.975912,9.350239,14.625674
70,23.911367,9.338069,14.5732975
71,23.846262,9.325991,14.520271
72,23.782202,9.314248,14.467954
73,23.718174,9.302772,14.415402
74,23.655254,9.291648,14.363606
75,23.592386,9.280441,14.311945
76,23.52973,9.269678,14.260051
77,23.467968,9.258996,14.208972
78,23.406698,9.248561,14.158136
79,23.345562,9.238459,14.107104
80,23.285824,9.228459,14.0573635
81,23.226421,9.218722,14.007698
82,23.166935,9.209216,13.957718
83,23.10876,9.199842,13.908917
84,23.04969,9.190692,13.858999
85,22.992136,9.181764,13.810373
86,22.935303,9.17305,13.762253
87,22.87826,9.1645355,13.713724
88,22.821314,9.156143,13.665172
89,22.765726,9.147938,13.617788
90,22.711063,9.140151,13.570912
91,22.655722,9.132295,13.523428
92,22.601158,9.124641,13.476517
93,22.546616,9.117317,13.429298
94,22.493221,9.110093,13.383128
95,22.43988,9.103144,13.336737
96,22.388086,9.096377,13.291708
