,loss,residual_loss,bound_loss
169,2.996304,0.9450718,2.0512319
170,2.9704442,0.9381423,2.032302
171,2.9452925,0.9312443,2.014048
172,2.920672,0.92431736,1.9963547
173,2.8965497,0.9173558,1.9791937
174,2.873036,0.9104224,1.9626133
175,2.8501086,0.9036331,1.9464755
176,2.8276906,0.8968353,1.9308553
177,2.8057017,0.8899837,1.9157181
178,2.7843132,0.88329864,1.9010147
179,2.7634475,0.87659717,1.8868504
180,2.7431006,0.8700956,1.8730052
181,2.723229,0.86360145,1.8596275
182,2.7038703,0.85725963,1.8466107
183,2.6849723,0.850886,1.8340862
184,2.6664608,0.844666,1.8217946
185,2.648447,0.8385407,1.8099064
186,2.630824,0.832445,1.798379
187,2.613729,0.82652575,1.7872033
188,2.5970283,0.8206687,1.7763597
189,2.580666,0.8149415,1.7657247
190,2.5647306,0.80929166,1.755439
191,2.549151,0.80368155,1.7454695
192,2.5340254,0.79822665,1.7357986
193,2.5190609,0.79273725,1.7263236
194,2.5045724,0.78748786,1.7170844
195,2.4903316,0.7822533,1.7080783
196,2.4764187,0.77707237,1.6993463
197,2.4627752,0.7720411,1.6907341
198,2.4493704,0.767028,1.6823424
199,2.436259,0.7621168,1.6741424
200,2.4234037,0.7572843,1.6661195
201,2.410791,0.75254774,1.6582432
202,2.3983955,0.7478125,1.650583
203,2.3861418,0.7432425,1.6428994
204,2.3740997,0.73866665,1.6354332
205,2.3622904,0.7341761,1.6281142
206,2.350532,0.72970617,1.6208259
207,2.339073,0.72530556,1.6137675
208,2.3276687,0.7210251,1.6066433
209,2.316431,0.71670085,1.5997303
210,2.3052592,0.71249497,1.5927644
211,2.2942815,0.7083125,1.5859689
212,2.2833629,0.7042088,1.579154
213,2.2725205,0.7000818,1.5724387
214,2.2617922,0.6960436,1.5657487
215,2.251186,0.69209784,1.559088
216,2.2406054,0.6880977,1.5525076
217,2.230073,0.6841816,1.5458913
218,2.2196283,0.68028903,1.5393393
219,2.2092097,0.6764734,1.5327363
220,2.1988924,0.6726521,1.5262401
221,2.1885953,0.6688702,1.5197251
222,2.1782954,0.66514707,1.5131483
223,2.1680276,0.6614703,1.5065575
